Crash ID,File Class,Incident #,Crash Date,Crash Time,No. of Units,Crash Type,Light,Road Surface Condition,Total Lanes,Speed Limit,Road Type,Driver Licence State,Age,Sex,Race,Total Occupants,Hazardous Action,Restraint,Airbag Deployed,Hospital,Ambulance,Year,Make,Color,Vehicle Type,Vehicle Direction,Vehicle Use,Action Prior,Narrative
0340073,93001,12167022,03/13/2022,11:20,04,Head On,Daylight,Ice,02,70,HWY,MI,21,F,W,01,Speed Too Fast,Shoulder and Lap Belt,Unknown,ST JOSEPH MERCY HOSPITAL,HURON VALLEY AMB INC,2013,FORD,MAR,"Passenger Car, SUV, Van",N,Private,Going Straight Ahead,The stories are conflicting and slightly different.  Driver #1 was northbound on US23.  A vehicle in front of her breaked to slow.  Driver Vehicle #1 breaked and lost control on sonwy/icy roads.  Driver #1 crossed the median into US23 southbound lanes.  Driver #1 struck driver #2 and spun and hit the trailer tires of Driver #3 which pushed her forward and driver #1 can to rest against the guardrail and caught fire.  Driver #4 lost control attempting to avoid vehicles and struck guard rail.  Driver #4 thought she hit another vehicle but evidence I could see at the scene didn't indicate that. 
0343103,93001,12160022,03/11/2022,06:35,02,Angle,Dawn,Snow,03,70,HWY,MI,26,F,U,01,Speed Too Fast,Restraint Use Unknown,Deployed - Combination,UNIV OF MICHIGAN HEALTH SYSTEM,HURON VALLEY AMB INC,2013,FORD,GRY,"Passenger Car, SUV, Van",W,Private,Going Straight Ahead,Driver #1 stated she was traveling straight ahead traveling N/B on US 23 when she lost control of her vehicle due to the ice on the roadway. Driver #1 stated she does not remember anything after losing control of her vehicle.  Driver #2 stated he was traveling N/B on US 23 when he witnessed Driver #2 lose control of her vehicle. Driver #2 stated he tried merging into the lane to his left and braking but was umable to move out of the way of Driver #1.   Driver #1 was transported off-scene by HVA Rig#: 8130 to U of M Hospital with a fractured pelvis and arm. 
0346297,93001,12799522,10/21/2022,17:15,03,Rear End,Daylight,Dry,02,65,HWY,MI,50,M,W,02,Careless Driving,Restraint Use Unknown,Not Deployed,NONE,NONE,2002,CHEVY,RED,"Passenger Car, SUV, Van",E,Private,Going Straight Ahead,Unit 1 was E/B M-14 when traffic ahead was slowing. Unit 1 was unaware of the slowed traffic and struck Unit 2. Unit 2 was driven  forward causing them to impact Unit 3. Unit 1 could not advise why he was unaware of the traffic and cited for careless driving among other violations. 
0344153,93001,12408322,06/11/2022,22:45,01,Single Motor Vehicle,Dark-Unlighted,Dry,03,65,Suffix,MI,16,M,A,07,Careless Driving,Shoulder and Lap Belt,Deployed - Combination,NONE,REFUSED,2009,TOYOTA,VIN,"Passenger Car, SUV, Van",E,Private,Going Straight Ahead,"VEH #1 WAS TRAVELING E/B M14 IN THE LEFT LANE ATTEMPTING TO PASS A VEHICLE IN THE MIDDLE LANE IN ORDER TO GET TO THE EXIT RAMP.  THE DRIVER OF VEH #1 ADVISED HE WAS TRAVELING 75-80MPH IN A POSTED 65 MPH AT THE TIME.  VEH #1 SWERVED ACROSS THE MIDDLE LANE TO THE RIGHT LANE/ EXIT RAMP FOR BARTON DR.  VEH #1 LOST CONTROL, CROSSED THE EXIT/ ENTRANCE RAMPS, CRASHED THROUGH THE GUARD RAIL AND STOP SIGN, WENT DOWN THE EMBANKMENT, ROLLED OVER, AND STRUCK SEVERAL TREES.    TWO OF THE PASSENGERS FLED FROM VEH #1.  THE DRIVER OF VEH #1 HAS A LEVEL TWO GRADUATED DRIVERS LICENSE RESTRICTING HIM FROM DRIVING AFTER 10PM AND HAVING PASSENGERS THAT ARE NOT IMMEDIATE FAMILY 18 YEARS OF . "
1239639,93001,220004858,01/20/2022,09:48,01,Single Motor Vehicle,Daylight,Dry,02,55,Suffix,MI,36,F,W,02,Speed Too Fast,Shoulder and Lap Belt,Not Deployed,REFUSED,REFUSED,2021,FORD,WHITE,"Passenger Car, SUV, Van",S,Private,Going Straight Ahead,"UNIT 1 GOT DISTRACTED INSIDE THE VEHICLE FROM HER CHILD CRYING. UNIT 1 LOOKED BACK TO SEE WHAT WAS WRONG, LOOKED BACK FORWARD AND SAW SHE HAD DRIFTED OFF THE ROAD. UNIT 1 THEN STRUCK A ROAD SIGN, CAUSING FUNCTIONAL DAMAGE, BEFORE COMING BACK ONTO THE ROAD WAY. "
1322146,93001,220094433,11/22/2022,07:17,01,Single Motor Vehicle,Dawn,Dry,02,45,Suffix,MI,19,M,W,01,None,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2018,FORD,WHITE,Pickup Truck,W,Commercial (Business),Going Straight Ahead,UNIT #1 WAS TRAVELLING S/W ON PONTIAC TRAIL. A DEER ENTERED THE ROADWAY FROM THE NORTH INTO UNIT #'S LANE OF TRAVEL. THE DRIVER OF UNIT #1 WAS UNABLE TO AVOID STRIKING THE DEER. NO INJURIES REPORTED ON SCENE. 
1236998,93001,220001624,01/07/2022,18:40,01,Single Motor Vehicle,Dark-Unlighted,Dry,02,55,Suffix,MI,31,F,W,01,None,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2013,HONDA,BLUE,"Passenger Car, SUV, Van",E,Private,Going Straight Ahead,VEHICLE WAS EB ON PONTIAC TRAIL AND STRUCK A DEER. 
1280687,9300-1,220049693,06/26/2022,17:26,01,Single Motor Vehicle,Daylight,Dry,02,45,Suffix,MI,27,F,W,01,None,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2003,TOYOTA,BLACK,"Passenger Car, SUV, Van",NE,Private,Going Straight Ahead,UNIT 1 WAS TRAVELING NORTH BOUND PONTIAC TRAIL.  A DEER ENTERED THE ROADWAY AND UNIT 1 STRUCK THE DEER ON ITS FRONT LEFT. 
1289367,9300-1,220061057,08/01/2022,17:21,01,Single Motor Vehicle,Daylight,Dry,02,45,Suffix,MI,43,M,W,01,None,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2019,HONDA,MAROON,"Passenger Car, SUV, Van",N,Private,Going Straight Ahead,UNIT 1 WAS TRAVELING NORTH BOUND ON PONTIAC TRAIL.  A DEER THEN ENTERED THE ROADWAY AND UNIT 1 STRUCK THE DEER ON THE FRONT RIGHT SIDE OF THE VEHICLE. 
1318952,9300-1,220091932,11/12/2022,21:22,01,Single Motor Vehicle,Dark-Unlighted,Wet,02,55,Suffix,MI,48,F,W,01,None,Shoulder and Lap Belt,Not Deployed,NONE,NONE,2011,TOYOTA,VIN,"Passenger Car, SUV, Van",N,Private,Going Straight Ahead,UNIT 1 WAS NB WHEN DEER ENTERED ROADWAY. UNIT 1 UNABLE TO AVOID COLLISION 
