Crash ID,changes
340073,
343103,
346297,
344153,"+ <PERSON>
- EXIT
- RAMP"
1239639,
1322146,
1236998,
1280687,
1289367,
1318952,
1304684,
343620,
346012,
347021,
344912,
346943,
343115,
344595,"+ <PERSON>
- Driver
- 1"
342184,
343821,
344053,
343590,
342441,"- SWERVED
+ <PERSON>
- MISS
+ <PERSON>"
345270,
345832,
1236205,"- DARKENDED
+ <PERSON>"
1301985,"- DRIVER
+ <PERSON>
+ <PERSON>.
- VEHICLE
- COLLIDED
- WITH
- VEHICLE#2."
346549,
346421,
344411,
340767,
342293,
342221,
342233,
342165,
342375,
342450,
342367,
342456,
342352,
342373,
342458,
342460,
1236834,
342377,
1235529,
342024,
1236778,"- EXPLAINED
+ <PERSON>"
342505,
342471,
342541,"+ <PERSON>
- OH
- 24"
342256,
342175,
342191,
1237986,
1238234,
342515,"- MERGE
+ <PERSON>
- MERGE
+ <PERSON>"
342516,
342398,
1238319,
342636,
342685,
1238785,
342735,
1238329,"- MD
+ <PERSON>"
342614,"+ <PERSON>,
- JACK
- KNIFED,"
342634,
1241023,
342124,
341594,
342553,
1240617,"- ROADS
+ <PERSON>"
342741,
342611,
342423,
342756,"- SPUN
+ <PERSON>"
342757,
342788,
1242609,
342605,"- LANE
+ <PERSON>
- SPUN
+ <PERSON>"
342721,
1242289,
342511,
1242615,
342675,
341634,
342769,
1243048,
1244031,
342790,
342475,
342274,"- Geddes
+ <PERSON>"
342840,"+ <PERSON>
- jack
- knifed"
342487,
342761,
341842,
342906,
342871,"+ <PERSON>.
- NIXON
- ROAD."
343007,
341454,
343060,
1249255,
342870,
342320,
342878,
342313,
342549,
342970,
342817,
342910,
343130,
343016,
342968,"- LANE,
+ <PERSON>,"
342939,
342902,
343305,"- Vincent
+ <PERSON>"
342535,
1250806,
342812,
343306,
342459,
343185,
342946,
342834,"- ROADS,
+ <PERSON>,"
1250945,"- IONITA
+ <PERSON>
+ <PERSON>
- BECKER
- BELIEVES"
342835,
1251531,
342656,
343393,
343082,
1251661,
1252590,
1254336,
1254340,
342736,"- JAMES
+ <PERSON>
- JAMES
+ <PERSON>"
343216,
342895,
1255487,
1254579,
1255536,
343525,
342896,
1254406,
343530,
343380,
343296,
343239,
343421,"- LANE.
+ <PERSON>."
343358,
343156,
342993,
343461,
342916,"+ <PERSON>
- Driver
- 1
- gore.
+ <PERSON>."
343568,
343478,
343547,"- Barton
+ <PERSON>"
343341,
1259242,
1254833,
343539,
343427,"- Driver
+ <PERSON>"
343548,
343197,"- unabe
+ <PERSON>"
343470,
342880,"- teh
+ <PERSON>"
1258916,
343215,
343232,
343619,
342996,
343317,
343346,
1260687,"+ <PERSON>
- \N\NVEHICLE#2
- ADV
- HE
- \N\NVEHICLE#2
+ <PERSON>"
343626,
343608,
343426,"- Barton
+ <PERSON>
- Barton
+ <PERSON>"
343637,"- LANE
+ <PERSON>"
1260743,
